id,domain_name,is_malicious,first_seen,last_seen,organization_id
573,webmail.mail-l26.com,1,,,18
574,www.ntransferfile.com,1,,,18
575,www.u-163.com,1,,,18
576,www.kangzhiq.com,1,,,18
577,www.l26mail.com,1,,,18
578,www.nf-mail-163.com,1,,,18
579,www.l63mail.com,1,,,18
580,mail.hw-mail-163.com,1,,,18
581,www.hw-mail-163.com,1,,,18
582,www.hwmail163.net,1,,,18
583,taikang.com.tiktok-help.com,1,,,18
584,mail.tiktok-help.com,1,,,18
585,webmail.tiktok-help.com,1,,,18
586,www.tiktok-help.com,1,,,18
587,itoxtlthpw.com,1,,,19
588,hao.360.mooo.com,1,,,19
589,common.js.ftp.sh,1,,,19
590,mtest.loseyourip.com,1,,,21
591,warnonmobina.duckdns.org,1,,,21
592,abotherrdpajq.duckdns.org,1,,,21
593,mohbeebnew.duckdns.org,1,,,21
594,skyrocket2.duckdns.org,1,,,21
595,microssd.duckdns.org,1,,,21
596,appservices.info,1,,,22
597,appsupports.info,1,,,22
598,appzserv.info,1,,,22
599,boostgridz.info,1,,,22
600,bvpkuapp.worldexplore.top,1,,,22
601,chartsbezorgd.info,1,,,22
602,chaterbox.org,1,,,22
603,cosmicupto.info,1,,,22
604,crewcleaner.info,1,,,22
605,daffodil.blog,1,,,22
606,dasulinja.freemyip.com,1,,,22
607,en.polservice.info,1,,,22
608,ftp.polservice.info,1,,,22
609,gemzlogzupd.info,1,,,22
610,getsupdated.info,1,,,22
611,gilbertfix.info,1,,,22
612,gladiolus.live,1,,,22
613,golledsack.info,1,,,22
614,hafybreaks.info,1,,,22
615,keeznoted.info,1,,,22
616,linkservicess.info,1,,,22
617,locaplayz.info,1,,,22
618,m.worldexplore.top,1,,,22
619,mail.totalservices.info,1,,,22
620,mail.zoom-info.com,1,,,22
621,miniappservcc.com,1,,,22
622,mnjkuilhgftrew.baiduwebhost.com,1,,,22
623,officesite.onrender.com,1,,,22
624,playserzapp.info,1,,,22
625,pop3.totalservices.info,1,,,22
626,reggysolution.info,1,,,22
627,rollededpack.info,1,,,22
628,scriptlydev.com,1,,,22
629,servicewebz.info,1,,,22
630,servzkeeps.info,1,,,22
631,servzupdate.info,1,,,22
632,shop.gladiolus.live,1,,,22
633,smtp.totalservices.info,1,,,22
634,smtp.zoom-info.com,1,,,22
635,standgifyet.buzz,1,,,22
636,surfspotz.info,1,,,22
637,synaptupiq.com,1,,,22
638,upnotex.info,1,,,22
639,uptofixbi.info,1,,,22
640,uptonox.info,1,,,22
641,visionglobale.site,1,,,22
642,vpn731932925.softether.net,1,,,22
643,vpn744565697.softether.net,1,,,22
644,webservicez.info,1,,,22
645,wp.worldexplore.top,1,,,22
646,www.couldmailauth.com,1,,,22
647,www.logicfind.buzz,1,,,22
648,www.polservice.info,1,,,22
649,www.rb-fcumb.com,1,,,22
650,www.roofcap.info,1,,,22
651,www.totalservices.info,1,,,22
652,www.worldexplore.top,1,,,22
653,www.zoom-info.com,1,,,22
654,wwww.zoom-info.com,1,,,22
655,yezzylogz.info,1,,,22
656,yumgetz.info,1,,,22
657,a0w.herokuapp.com,1,,,23
658,a0x.herokuapp.com,1,,,23
659,en-localhost.herokuapp.com,1,,,23
660,en-office365updateescente.herokuapp.com,1,,,23
661,fcdn.pythonanywhere.com,1,,,23
662,il1.000webhostapp.com,1,,,23
663,jl3.000webhostapp.com,1,,,23
664,op9.herokuapp.com,1,,,23
665,o-s.herokuapp.com,1,,,23
666,p92.herokuapp.com,1,,,23
667,sysupdate.pythonanywhere.com,1,,,23
668,w0m.herokuapp.com,1,,,23
669,android-support.com,1,,,24
670,www.stackapk.com,1,,,24
671,zoemagicbook.com,1,,,25
672,ashersoftlib.com,1,,,25
673,pinkrosesandmore.com,1,,,25
674,crudestopics.com,1,,,25
675,broadsforthestate.com,1,,,25
676,whitevintagecars.com,1,,,25
677,teengroomwell.com,1,,,25
678,florabrocuisine.com,1,,,25
679,homecampuscenter.com,1,,,25
680,doinamagicclasses.com,1,,,25
681,stellacustomscreens.com,1,,,25
682,oscarskatingcoach.com,1,,,25
683,joelgardens.com,1,,,25
684,johnfashionarchive.com,1,,,25
685,pawsandtailcare.com,1,,,25
686,hannahsgpsapp.com,1,,,25
687,large-file-download-in-progress-page-loading-iuwt6sk34bs6543df.tartaakademi.com,1,,,25
688,tartaakademi.com,1,,,25
